"year","month","time_slot","flight_arrival","flight_departure","flight_total","passenger_arrival","passenger_departure","passenger_total","cargo_arrival","cargo_departure","cargo_total"
"2024","6","23시-00시",346,595,941,45921,75985,121906,3443,11785,15228
"2024","7","00시-01시",260,508,768,29420,61548,90968,2904,10781,13685
"2024","7","01시-02시",100,389,489,9460,45520,54980,1487,6900,8388
"2024","7","02시-03시",83,295,378,5494,25645,31139,1981,7350,9331
"2024","7","03시-04시",226,97,323,41699,6005,47704,1806,3246,5052
"2024","7","04시-05시",506,76,582,97964,2775,100739,2055,2483,4538
"2024","7","05시-06시",621,85,706,111826,3760,115586,3271,2497,5768
"2024","7","06시-07시",912,170,1082,163420,20911,184331,4546,1402,5948
"2024","7","07시-08시",1030,547,1577,168301,89856,258157,9143,903,10045
"2024","7","08시-09시",747,1237,1984,114097,230020,344117,9328,4097,13425
"2024","7","09시-10시",805,1220,2025,121914,237511,359425,9736,3653,13389
"2024","7","10시-11시",679,1294,1973,91651,270382,362033,7414,7363,14777
"2024","7","11시-12시",954,956,1910,142645,187258,329903,7511,6476,13986
"2024","7","12시-13시",953,1124,2077,153434,189227,342661,4127,7037,11164
"2024","7","13시-14시",874,1036,1910,137355,164885,302240,4403,6177,10580
"2024","7","14시-15시",999,936,1935,182686,147736,330422,4473,6006,10479
"2024","7","15시-16시",1019,836,1855,189645,154463,344108,6513,3689,10202
"2024","7","16시-17시",1109,856,1965,222018,157710,379728,6839,4556,11395
"2024","7","17시-18시",1228,817,2045,260273,154368,414641,6584,3856,10441
"2024","7","18시-19시",1041,823,1864,175660,161832,337492,6550,4072,10622
"2024","7","19시-20시",941,930,1871,138345,188515,326860,4298,4041,8340
"2024","7","20시-21시",872,984,1856,129798,204377,334175,6070,4094,10163
"2024","7","21시-22시",873,1053,1926,139773,211974,351747,6321,3434,9754
"2024","7","22시-23시",678,879,1557,100631,147767,248398,4408,7272,11681
"2024","7","23시-00시",390,750,1140,42555,103404,145959,4296,12424,16720
"2024","8","00시-01시",200,455,655,24633,51123,75756,2503,8857,11360
"2024","8","01시-02시",84,347,431,10456,38717,49173,1028,6134,7162
"2024","8","02시-03시",79,283,362,10414,22427,32841,1793,8086,9879
"2024","8","03시-04시",281,74,355,53141,3045,56186,1576,2971,4547
"2024","8","04시-05시",546,64,610,110221,1407,111628,2136,1804,3940
"2024","8","05시-06시",680,80,760,135791,4531,140322,3648,1860,5508
"2024","8","06시-07시",1011,192,1203,199137,23605,222742,6263,544,6807
"2024","8","07시-08시",1032,593,1625,194606,90508,285114,8137,721,8858
"2024","8","08시-09시",742,1302,2044,121654,219470,341124,8829,3573,12402
"2024","8","09시-10시",819,1228,2047,140484,227431,367915,9846,4352,14198
"2024","8","10시-11시",647,1341,1988,110149,269567,379716,5194,7163,12358
"2024","8","11시-12시",925,970,1895,147986,184727,332713,6067,6702,12769
"2024","8","12시-13시",960,1152,2112,168281,189829,358110,4409,7604,12013
"2024","8","13시-14시",969,992,1961,163953,153775,317728,5014,5362,10376
"2024","8","14시-15시",968,942,1910,188787,144466,333253,4584,4727,9311
"2024","8","15시-16시",1028,889,1917,200572,158748,359320,5751,3789,9540
"2024","8","16시-17시",1145,867,2012,242276,152858,395134,6125,3742,9867
"2024","8","17시-18시",1228,843,2071,265299,152544,417843,7071,4431,11502
"2024","8","18시-19시",1001,809,1810,183605,151660,335265,5711,3696,9407
"2024","8","19시-20시",1020,988,2008,166274,191701,357975,4094,4348,8443
"2024","8","20시-21시",923,1002,1925,149632,195964,345596,6340,3969,10309
"2024","8","21시-22시",878,1129,2007,153142,217916,371058,5657,3479,9136
"2024","8","22시-23시",677,924,1601,105799,140817,246616,4987,8349,13336
"2024","8","23시-00시",336,706,1042,41155,97195,138350,3187,12602,15789
"2024","9","00시-01시",127,386,513,11311,39912,51223,2128,8153,10280
"2024","9","01시-02시",70,319,389,5474,33330,38804,1075,6785,7860
"2024","9","02시-03시",50,221,271,1671,10079,11750,1775,6796,8571
"2024","9","03시-04시",242,62,304,42023,909,42932,1373,3019,4392
"2024","9","04시-05시",563,64,627,109012,584,109596,2339,2637,4977
"2024","9","05시-06시",649,70,719,116904,2802,119706,3857,2073,5930
"2024","9","06시-07시",954,186,1140,169297,18539,187836,5777,970,6747
"2024","9","07시-08시",965,605,1570,159239,90427,249666,7118,1641,8759
"2024","9","08시-09시",708,1249,1957,108115,212582,320697,7841,3774,11615
"2024","9","09시-10시",760,1255,2015,118298,232997,351295,9693,4611,14305
"2024","9","10시-11시",578,1320,1898,85390,260553,345943,5265,6603,11868
"2024","9","11시-12시",989,925,1914,148506,183591,332097,6337,6430,12766
"2024","9","12시-13시",885,1114,1999,144296,184958,329254,3602,7186,10788
"2024","9","13시-14시",922,1002,1924,142695,154329,297024,4696,5890,10586
"2024","9","14시-15시",958,909,1867,171751,136489,308240,4993,5789,10781
"2024","9","15시-16시",997,840,1837,179315,145832,325147,5867,3812,9678
"2024","9","16시-17시",1193,833,2026,240461,142195,382656,6832,4710,11542
"2024","9","17시-18시",1182,782,1964,234637,133529,368166,7018,3843,10860
"2024","9","18시-19시",932,798,1730,168781,146459,315240,4894,3456,8350
"2024","9","19시-20시",964,908,1872,142101,175245,317346,4879,4581,9460
"2024","9","20시-21시",876,1007,1883,135719,192498,328217,6419,3722,10141
"2024","9","21시-22시",852,910,1762,139615,170877,310492,5242,3151,8393
"2024","9","22시-23시",607,915,1522,86949,134049,220998,4650,8207,12857
"2024","9","23시-00시",309,660,969,27459,89519,116978,4588,11778,16366
"2024","10","00시-01시",134,417,551,10682,41227,51909,2363,9022,11386
"2024","10","01시-02시",71,318,389,5751,31104,36855,997,7856,8853
"2024","10","02시-03시",49,236,285,879,12799,13678,2357,8188,10546
"2024","10","03시-04시",214,47,261,35467,1010,36477,1293,1539,2832
"2024","10","04시-05시",641,63,704,126165,640,126805,2588,2726,5314
"2024","10","05시-06시",815,66,881,159755,3982,163737,4168,1737,5906
"2024","10","06시-07시",1006,173,1179,195718,20202,215920,6048,980,7027
"2024","10","07시-08시",987,632,1619,164705,101661,266366,9089,1222,10312
"2024","10","08시-09시",729,1284,2013,113289,231779,345068,9256,4616,13872
"2024","10","09시-10시",772,1270,2042,125712,250749,376461,8771,4833,13604
"2024","10","10시-11시",572,1301,1873,85358,272079,357437,5227,7976,13203
